P38073	MA0294.2
P38140	MA0420.2
P39521	MA0295.2
P40466	MA0296.2
P07248	MA0268.2
P43574	MA0300.2
Q07928	MA0301.2
P40569	MA0302.2
P03069	MA0303.3
Q01722	MA0305.2
Q03833	MA0306.2
P42950	MA0308.2
P42944	MA0309.2
P22149	MA0269.2
P41546	MA0310.2
P0CE41	MA0312.3
P13434	MA0314.3
Q02516	MA0316.2
P25364	MA0317.2
Q08957	MA0270.2
P10961	MA0319.2
P40971	MA0325.2
Q94513	MA0529.3
Q01295	MA0010.2
Q01295	MA0011.2
Q01295	MA0012.2
Q24266	MA0443.2
P20385	MA0015.2
Q7YU61	MA0184.2
P20482	MA0530.2
Q4QPP9	MA0530.2
Q9VS55	MA0531.2
Q24180	MA0185.2
Q9VAI8	MA1455.2
O96083	MA1456.2
P23023	MA1836.2
Q9W268	MA0915.2
Q9VFQ3	MA0189.2
Q9VR17	MA1837.2
Q9VQD6	MA1838.2
P40427	MA0222.2
Q95TF1	MA1839.2
Q27403	MA1840.2
P13002	MA1457.2
P22813	MA1458.2
P56721	MA1841.2
P10734	MA0451.2
P07247	MA0452.3
Q9VJ02	MA0195.2
Q9VHM3	MA1459.2
P31368	MA0197.3
P51521	MA0126.2
Q24217	MA1702.2
Q9W1H7	MA0457.2
Q8ST83	MA1460.2
Q9VEZ8	MA0536.2
Q8T0V5	MA0200.2
P06601	MA0239.2
P30052	MA0243.2
P32030	MA0458.2
P08044	MA0086.3
Q24151	MA0532.2
O16804	MA1461.2
P22711	MA0247.3
Q08605	MA0205.3
P10627	MA0249.3
P83949	MA0094.3
P20153	MA0016.2
Q9VWC6	MA1462.2
A1Z913	MA0252.2
P09956	MA0255.2
P09090	MA0257.2
A8XSX6	MA1438.2
Q18909	MA1444.2
P41936	MA0264.2
Q19720	MA1699.2
O45080	MA0921.2
G5EFF5	MA0538.2
O16850	MA1446.2
A8X4D9	MA0919.2
G5EF11	MA0541.2
Q10655	MA1701.2
A8XI59	MA1439.2
G5EDU4	MA0543.2
A8XJN7	MA0920.2
P22980	MA0545.2
H2KZZ2	MA1449.2
G5EEA1	MA0923.2
A8WVZ2	MA1441.2
Q95QD7	MA1450.2
G5EFY7	MA1703.2
P34707	MA0547.2
P45897	MA0925.2
A8WQQ9	MA1443.2
A8WL06	MA0918.2
V6CLN5	MA0928.2
P46505	MA1704.2
O23116	MA1751.2
Q38914	MA0571.2
Q5YGP8	MA1377.2
Q9M0L0	MA0971.2
Q9SUE3	MA0976.3
Q9SW63	MA0980.3
O80340	MA0992.3
Q9LDE4	MA0993.2
Q9MAI5	MA0994.3
Q9SUK8	MA0995.3
Q8W4I5	MA0997.2
Q9LSX0	MA0998.2
Q8VY90	MA1000.3
Q9C5I3	MA1001.4
Q8L9K1	MA1004.2
O80339	MA1005.3
Q8VZ91	MA1006.2
A9S898	MA1008.2
A9RC32	MA1010.2
Q6EP77	MA1032.2
Q9LND1	MA1049.2
Q9FJ93	MA1218.2
Q9SNE1	MA1219.3
Q39127	MA1220.2
Q9M210	MA1223.2
P61827	MA1226.2
Q38Q39	MA1227.3
Q8LBQ7	MA1228.2
Q8LBQ7	MA1229.2
O80654	MA1230.2
Q8VYM0	MA1231.3
Q9M0J3	MA1232.2
Q9C9I2	MA1233.3
Q84QC2	MA1234.2
Q9ZQP3	MA1238.3
Q9FKG1	MA1239.2
Q9ZWA2	MA1240.2
Q9M080	MA1241.2
O80917	MA1243.2
Q9FGF8	MA1244.2
P93007	MA1245.3
Q9M644	MA1246.2
Q9FZ90	MA1247.2
Q9SFE4	MA1248.2
Q9LQZ2	MA1250.2
Q8W3M3	MA1251.2
Q6J9Q2	MA1252.2
Q9LU18	MA1253.2
Q9SSA8	MA1256.2
Q9FE67	MA1257.2
O82132	MA1258.2
Q1ECI2	MA1259.2
Q9CAP4	MA1260.2
Q38Q40	MA1261.2
O80338	MA1262.2
Q9SKW5	MA1263.2
Q9LTC6	MA1264.2
Q6NLD5	MA1265.3
Q6J9S1	MA1266.2
O80542	MA1424.2
P93835	MA1669.2
Q9SYS6	MA1670.2
Q9CA27	MA1671.2
Q8LC30	MA1679.2
Q9LN86	MA1748.2
Q9FJ90	MA1752.2
Q9FJQ2	MA1753.2
Q8H0T5	MA1754.2
Q8H1E4	MA1795.2
Q9XI33	MA1804.2
A0A060D1F1	MA1817.2
A0A1D6ERG6	MA1819.2
K7TL41	MA1820.2
A0A1D6I4Y7	MA1821.2
A0A060D609	MA1831.2
C4J4G2	MA1832.2
B6TYT8	MA1833.2
Q9FH94	MA2011.2
Q9LY29	MA2013.2
Q01593	MA0564.2
Q9LW31	MA0565.3
Q1PFR7	MA0581.2
I1KZD3	MA1810.2
Q8L7G0	MA0942.2
P93024	MA0943.2
Q9FGV1	MA0944.2
Q94JM3	MA1206.2
D9HNT7	MA1685.2
K7URZ7	MA1688.2
A0A060CYJ7	MA1689.2
C0PH36	MA1690.2
D9HNV4	MA1691.2
D9HNV6	MA1692.2
A0A060D7X7	MA1693.2
D9HNT1	MA1697.2
D9HNT4	MA1698.2
